smiles,label
BrC/C=C/[Si](C)(C)C,0
C/C(C)=C(C)/C,0
C/C=C(C)\C,0
C/C=C(C)\Cl,0
C/C=C/C(C)C,0
C/C=C/CC(C)C,0
C/C=C/CC(C)CC#N,1
C/C=C/CCC,0
C/C=C/CCC(C)C,0
C/C=C/CCCCC,0
C/C=C/CCCCCC,0
C/C=C/CCCCCCC,0
C/C=C/CCCCCCCC,0
C/C=C/SCC,0
C/C=C/SCCCC,0
C/C=C/SCCCCCC,0
C/C=C/SCCCCCCCC,0
C/C=C/SCCCCCCCCCC,0
C/C=C/[Si](C)(C)C,0
C/C=C\C,0
C/C=C\C1=CC=C(C=C1)[Si](C)(C)C,0
C/C=C\C1=CC=CC=C1,1
C/C=C\CC(C)CCC,0
C/C=C\CCC1OC1(C)C,0
C/C=C\[Si](C)(C)C,0
C/C=C\[Si](C)(C)C(C)C,0
C/C=C\[Si](C)(C)CC,0
C/C=C\[Si](C1=CC=CC=C1)(C)C,1
C/C=C\[Si](CCC)(C)C,0
C/C=C\[Si](CCCC)(C)C,0
C/C=C\[Si](CCCCCCCC)(C)C,0
C1(/C=C/C2=CC=CC=C2)=CC(C(C=CC=C3)=C3C4)=C4C=C1,0
C1(/C=C\C2=CC=C(C3=CC=CC=C3)C=C2)=CC=CC=C1,0
C1(/C=C\C2=CC=CC=C2)=CC=C(CCC3)C3=C1,0
C1(/C=C\C2=CC=CC=C2)=CC=CC=C1,0
C1(C2=CC=CC=C2)=NN=CN1C3=CC=CC=C3,1
C1(C2=NN=C(N2C3=CC=CC=C3)C4=CC=C(C5=NN=C(N5C6=CC=CC=C6)C7=CC=CC=C7)C=C4)=CC=C(C=C1)C8=NN=C(C9=CC=CC(C%10=NN=CN%10C%11=CC=CC=C%11)=C9)N8C%12=CC=CC=C%12,1
C=C(C)C(=O)OCCO,1
C=C(C)C(=O)OCCOCCO,1
C=C(C)C(=O)OCCOCCOCCO,1
C=CC(C)(C)C,0
C=CC1=CC=CC=C1[Ge](C)(C)C,0
C=CC1=CC=CC=C1[Si](C)(C)C,0
C=CC1CCC(F)(F)C1(C(F)(F)F)C(F)(F)F,0
C=CC1CCC(F)(F)C1(F)OC(F)(F)C(F)(F)C(F)(F)F,0
C=CC1CCCC1,0
C=CC1CCCC1[Si](C)(C)C,0
C=CC1CCCC1[Si](C)(C)C[Si](C)(C)C,0
C=CC2CCC3C(=O)N(C1CCCCC1)C(=O)C23,1
C=CC2CCC3C(=O)N(c1c(F)c(F)c(F)c(F)c1F)C(=O)C23,0
C=CC2CCC3C(=O)N(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(=O)C23,0
C=CC2CCC3C(=O)N(c1ccccc1)C(=O)C23,1
C=CC4CCC5C(=O)N(C23CC1CC(CC(C1)C2)C3)C(=O)C45,0
C=CC5CC(/C=C\C2CCC3C(=O)N(c1ccccc1)C(=O)C23)C6C(=O)N(c4c(F)c(F)c(F)c(F)c4F)C(=O)C56,1
C=Cc1ccccc1,0
CC,0
CC%10(C)CC(C)(c6ccc(Oc5ccc(c4ccc(n3c(=O)c2cc1c(=O)[nH]c(=O)c1cc2c3=O)cc4)cc5C(F)(F)F)cc6)c9cc(Oc8ccc(c7ccccc7)cc8C(F)(F)F)ccc9%10,0
CC%11(C)CC(C)(c7ccc(Oc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)[nH]c(=O)c1c2)cc3c4=O)cc5)cc6C(F)(F)F)cc7)c%10cc(Oc9ccc(c8ccccc8)cc9C(F)(F)F)ccc%10%11,1
CC%11(C)CC(C)(c7ccc(Oc6ccc(c5ccc(n4c(=O)c3ccc(Oc2ccc1c(=O)[nH]c(=O)c1c2)cc3c4=O)cc5)cc6C(F)(F)F)cc7)c%10cc(Oc9ccc(c8ccccc8)cc9C(F)(F)F)ccc%10%11,1
CC%12(C)CC8(CC(C)(C)c7ccc(Oc6ccc(c5ccc(n4c(=O)c3ccc(C(c2ccc1c(=O)[nH]c(=O)c1c2)(C(F)(F)F)C(F)(F)F)cc3c4=O)cc5)cc6C(F)(F)F)cc78)c%11cc(Oc%10ccc(c9ccccc9)cc%10C(F)(F)F)ccc%11%12,0
CC%12(C)CC8(CC(C)(C)c7ccc(Oc6ccc(c5ccc(n4c(=O)c3ccc(Oc2ccc1c(=O)[nH]c(=O)c1c2)cc3c4=O)cc5)cc6C(F)(F)F)cc78)c%11cc(Oc%10ccc(c9ccccc9)cc%10C(F)(F)F)ccc%11%12,0
CC(=O)OCC2CC(O)C(OC(C)=O)C(OC1C(COC(C)=O)OC(O)C(OC(C)=O)C1O)O2,1
CC(=O)c6cc(C(c1ccc4c(c1)c(=O)n5c3cc2[nH]cnc2cc3nc45)(C(F)(F)F)C(F)(F)F)ccc6C,0
CC(C(C=C1)=CC=C1/C=C(C(/C(C2=CC=C([Si](C)(C)C)C=C2)=C/C3=CC=CC=C3)=O)\C4=CC=CC=C4)(C)C,0
CC(C(C=C1)=CC=C1/C=C\C2=CC=CC=C2)(C)C,0
CC(C(C=C1)=CC=C1/C=C\C2=CC=CC=C2)C,0
CC(C(C=C1)=CC=C1C(C=C2)=CC=C2/C=C\C3=CC=CC=C3)(C)C,0
CC(C)(C)C(C=C1)=CC=C1CN2C(C3=CC(C(C)(C)C)=CC=C3)=NC(C2=C4)=CC=C4C5=CC6=C(C=C5)N(CC7=CC=C(C(C)(C)C)C=C7)C=N6,1
CC(C)(C)C(C=C1)=CC=C1CN2C(C3=CC=CC=C3)=NC(C2=C4)=CC=C4C5=CC6=C(C=C5)N(CC7=CC=C(C(C)(C)C)C=C7)C=N6,1
CC(C)(C)C1=CC=CC(C(N2CCCC)=NC(C2=C3)=CC=C3C4=CC5=C(C=C4)N(CCCC)C=N5)=C1,1
CC(C)(C)C1=CC=CC(C(N2C[Si](C)(C)C)=NC(C2=C3)=CC=C3C4=CC5=C(C=C4)N(C[Si](C)(C)C)C=N5)=C1,1
